instruction,output,financial_score,word_count
Looking to buy a house in 1-2 years. Does starting a Roth IRA now make sense?,"If you are going to be buying a house in 1-2 years, I would be putting my money into a short term holding area like a high interest (which isn't that high right now) or a CD (also low interest) because of your near-term need.  I wouldn't use the Roth option for your down payment money. If you invest in something volatile (and stocks/mutual funds are very volatile in a 1-2 year term) I would consider it too risky for your need and time frame.",9,101
Trading: who takes the money from CAC 40 Or DAX,"I am guessing that when you say ""FRENCH40"" and ""GERMAN30"" you are referring to the main French and German stock market indices.  The main French index is the CAC-40 with its 40 constituent companies. The main German index is the DAX, which has 30 constituents.  The US30 is presumably the Dow Jones Index which also has 30 constituents. These are stock market indices that are used to measure the value of a basket of shares (the index constituents).  As the value of the constituents change, so does the value of the index. There are various financial instruments that allow investors to profit from movements in these indices.  It is those people who invest in these instruments that profit from price movements.  The constituent companies receive no direct benefit or profit from investor trading in these instruments, nor does the government.",9,150
How can I find out which ETFs has holdings in a particular stock?,"An ETF does not track any one individual stock. It ""is a marketable security that tracks an index, a commodity, bonds, or a basket of assets like an index fund."" Check out this link to learn more about ETFs. The easiest way see what ETF tracks a stock is to determine what sector and industry that company is in and find some ETF that trade it. The ETF will likely trade that stock, assuming that its market cap and exchange it trades on fits within the parameters of the ETF.",9,103
Generate a list of potential keywords related to the topic of digital currency.,1. Cryptocurrency  2. Bitcoin  3. Ethereum  4. Ripple  5. Litecoin  6. Blockchain  7. Crypto Assets  8. Tokenomics  9. ICO  10. Mining  11. Stablecoin  12. Security Token  13. Fiat Currency  14. Smart Contracts  15. Digital Wallet  16. Cryptocurrency Trading  17. DeFi  18. Exchange  19. NFT,9,57
Comparing IRA vs 401K's rate-of-return with dollar cost averaging,"Google Docs spreadsheets have a function for filling in stock and fund prices.  You can use that data to graph (fund1 / fund2) over some time period. Syntax: =GoogleFinance(""symbol"", ""attribute"", ""start_date"", ""num_days|end_date"", ""interval"") where: This analysis won’t include dividends or distributions. Yahoo provides adjusted data, if you want to include that.",9,60
Is investing in an ETF generally your best option after establishing a Roth IRA?,"It's hard to know what to tell you without knowing income, age, marital status, etc., so I'll give some general comments. ETFs come in all varieties.  Some have more volatility than others.  It all depends on what types of assets are in the fund. Right now it's tough to outpace inflation in an investment that's ""safe"" (CDs for example).  Online savings accounts pay 1% or less now. Invest only in what you understand, and only after everything else is taken care of (debt, living expenses, college costs, etc.)  A bank account is just fine.  You're investing in US Dollars.  Accumulating cash isn't a bad thing to do.",9,121
Do US mutual funds and ETFs pay taxes on dividends?,"Mutual funds don't pay taxes themselves, they distribute any dividends or capital gains to the shareholders. Thus, if you hold a mutual fund in a tax-advantaged account like a 401k or IRA then the distribution isn't a taxable event while in a regular taxable account you would have to pay taxes on the distributions. From Forbes: There can be foreign companies on US stock exchanges that would still work the same way. Unilever for example is an Anglo-Dutch multinational listed on the NYSE as ""UN.""",9,95
Describe the different ways one can invest in cryptocurrency.,"There are several ways to invest in cryptocurrency. The most common is buying cryptocurrency directly either on an exchange or over-the-counter, or through a broker. Investors can also purchase cryptocurrency tokens during an Initial Coin Offering (ICO) and receive tokens in exchange. Another option is to invest in cryptocurrency funds, which pool money from investors and buy multiple cryptocurrencies at once. Investing in cryptocurrency futures and options is also possible, allowing investors to speculate on the cryptocurrency prices without owning the tokens. Finally, investors can invest in start-ups that are utilizing blockchain technology or in companies that accept cryptocurrency payments.",9,109
How to safely earn interest on business profits (UK),"Deposit it in a business savings account. The following below show you some options you can choose from. Next you can invest it in the market i.e. shares, bonds etc. If you have a more risky side, can go for peer to peer lending. If you are feeling really lucky and want to invest in the long term, then buy a property as a buy-to-let landlord. There are loads of options, you only need to explore.",9,85
Selling RSUs that vested at different values,"No, you're not missing anything. RSUs are pretty simple when it comes to taxes. They are taxed as compensation at fair market value when they vest, basically equivalent to the company giving you a cash bonus and then using it to buy company stock. The fair market value at vesting then becomes your cost basis. Assuming the value has increased since vesting, selling the shares that vested at least a year ago (to qualify for lower long-term capital gains tax rates) with the highest cost basis with result in the minimum taxes.",9,99
Will there always be somebody selling/buying in every stock?,"Well Company is a small assets company for example it has 450,000,000 shares outstanding and is currently traded at .002. Almost never has a bid price.  Compare it to PI a relative company with 350 million marker cap brokers will buy your shares.  This is why blue chip stock is so much better than small company because it is much more safer. You can in theory make millions with start up / small companies.  You would you rather make stable medium risk investment than extremely high risk with high reward investment  I only invest in medium risk mutual funds and with recent rallies I made 182,973 already in half year period.",9,120
Why would a long-term investor ever chose a Mutual Fund over an ETF?,"There is little difference between buying shares in your broker's index fund and shares of their corresponding ETF.  In many cases the money invested in an ETF gets essentially stuffed right into the index fund (I believe Vanguard does this, for example).  In either case you will be paying a little bit of tax.  In the ETF case it will be on the dividends that are paid out.  In the index fund case it will additionally be on the capital gains that have been realized within the fund, which are very few for an index fund.  Not a ton in either case.  The more important tax consideration is between purchase and sale, which is the same in either case. I'd say stick it wherever the lowest fees are.",9,141
Can buying REIT's be compared to investing in Real Estate?,"well yes but you should also begin to understand the sectoral component of real estate as a market too in that there can be commercial property;  industrial property and retail property; each of which is capable of having slightly (tho usually similar of course) different returns, yields, and risks.  Whereas you are saving to buy and enter into the residential property market which is different again and valuation principles are often out of kilter here because Buying a home although exposing your asset base to real estate risk isnt usually considered an investment as it is often made on emotional grounds not strict investment criteria.",9,115
Is there a website with options chain charts?,"http://dailyfinance.com Enter a stock ticker, then click on the Chain link to the left. Then, click on the option tickers to see their charts. EDIT: the site has changed, and there are no more option charts. So why are option charts so tough to find? Options are derivatives of the stock. Option prices are defined by a formula. The inputs are stock pricxe, strike, days to expiration, dividend, risk-free interest rate, and volatility. Volatility is the only thing that cannot be easily looked up. With a Black-Scholes calculator, and some reasonable volatility selections, it's possible to make your own fairly accurate option chart. I don't think it's very enlightening, though. The interesting things are: the stock price movement (as always), and the nature of option pricing behavior in general (understanding how the formula represents crowd behavior).",9,144
Should I use a TSP loan?,"I don't have experience with TSP in particular, but they look to be roughly the same as 401(k) loans. If the ""G Fund rate"" is equal to the yield of government bonds, then your main risk is the risk that yields increase, which means the interest you're paying is less than what you would have earned on the investments. Here are some other things to consider: For any car loan, I would borrow as little as possible with as short a term as possible.  To me, the interest savings and additional risks from borrowing from your retirement isn't worth it.",9,106
Examine the differences between an LLC and a C-corporation.,"An LLC and a C-corporation are two different legal structures used for businesses. 

LLCs are a type of pass-through entity, meaning that the owners of the business are taxed on the profits of the business without the business itself being taxed. LLCs also offer pass-through liability protection: the owners of the LLC are not personally liable for the debts and other risks of the business. 

C-corporations, on the other hand, are separate legal entities that are taxed on their own profits. Their shareholders are generally taxed separately on any profits they receive from the C-corporation. C-corporations offer greater flexibility when it comes to issuing stock and issuing dividends to shareholders. They also may be eligible for better tax rates. However, they come with double taxation: the corporation and the shareholders are both taxed on their profits.",9,145
Invest in ESPP Single Stock or General Market,"Make sure to check the language describing the 'discount'. The company may be matching your contribution by 5% instead of a discount.  You will likely be taxed on the match as compensation and your benefit would net to less than 5%.   The next risk is that you've increased your exposure if your company does poorly.  In the worst case scenario you could lose your wages to a layoff and your portfolio to a falling share price.  Investing in other companies will diversify this risk. As for benefits, you get the 5% (less taxes) for free which isn't a bad thing in my book. Just don't put everything you own into the stock.  It should be part of your overall investing strategy.",9,129
Personal finance in EFU and NAFA,"I want to know why my investment is having loss in 4 to 5 months. As the funds invest in stock markets, the Pakistan stock market is going down in last 4-5 months from all time high. Should I liquidate my investment or wait in hope that it will grow again? This is opinion based and one cannot predict what will happen in future. The funds may grow or may loose value. If I loose all my investment value, is it insured. OR do I loose everything? The growth fund I understand is not guaranteeing any returns. in theory you can loose all the money, however practically there will be some value. If you need guaranteed returns maybe EFU Guaranteed Growth fund will be better choice.",9,132
Generate a list of topics that you could use to write a blog post on cryptocurrencies.,"1. An introduction to cryptocurrency
2. The risks and rewards of investing in cryptocurrency
3. Analyzing the current cryptocurrency market
4. Impact of cryptocurrency on the global economy
5. Understanding blockchain technology
6. Exploring cryptocurrency trading strategies
7. Top crypto coins for 2021
8. How to buy and sell cryptocurrency
9. Understanding mining process for cryptocurrency
10. Impact of taxes on cryptocurrency investments",9,79
What is the principle of forming an arbitrage strategy?,"Well, arbitrage is a simple mean reversion strategy which states that any two similar commodity with some price difference (usually not much)  will converge. So either you can bet on difference in prices in different exchanges or also you can bet on difference in futures value.  For example if current price of stock is 14$ and if futures price is 10$.  Then you can buy one futures contract and short one stock at the market price. This would lock in a profit of 4$ per share.",9,95
What to do with your savings in Japan,"The reason for these low interests is that the Japanese central bank is giving away money at negative interests to banks. Yes, negative. So, short of opening your own bank, you'll have to either choose less liquid investments or more risky ones. Get Japanese government bonds. Not a great interest, band not that liquid, but for a 5 years bond you'll do better than the bank can. Get Japanese corporate bonds. Still not great, and a bit more risky, it's better than nothing. Get a Japanese mutual fund. I can't recommend any though. Buy Japanese stock. Many Japanese stock have interesting kickbacks. For example if you buy enough stock of Book-Off you'll get some free books every month. it's risky though because I believe the next NIKKEI index crash is imminent.",9,139
Capital gains on no-dividend stocks - a theoretical question,"You are overlooking the fact that it is not only supply & demand from investors that determines the share price:  The company itself can buy and sell its own shares. If company X is profitable over the long haul but pays 0 dividends then either Option (2) is pretty ridiculous, so (1) will hold except in an extreme ""man bites dog"" kind of fluke. This is connected with the well-known ""dividend paradox"", which I discussed already in another answer.",9,88
What is this type of risk-free investment called?,"My Credit Union offers a market-linked CD where the investment has FDIC protection if it is held to maturity, but otherwise they are linked with the S&P 500. it comes with this warning: Market-Link CDs are not appropriate for all depositors including   clients needing a guaranteed interest payment or seeking full   participation in the stock market.  If redeemed prior to maturity, the   amount received will be subject to market risk including interest rate   fluctuations an issuer credit quality. So they still do exist. Another credit union I belong to has a similar product. The risk is that if you need the money early, there may be losses. There would also not be a way to switch to a more conservative posture as the CD approached maturity, if you were interested in protecting your gains.",9,142
What is the difference between a bond and a debenture?,"Investopedia has definitions for both: Debenture: A type of debt instrument that is not secured by physical asset or collateral. Bond: A debt investment in which an investor loans money to an entity (corporate or governmental) that borrows the funds for a defined period of time at a fixed interest rate. Wikipedia's entry for debenture says: In some countries [debenture] is used interchangeably with bond, loan stock or note. Seems to me that there's not much difference.",9,87
"In India, what is the difference between Dividend and Growth mutual fund types?","I wrote about this a while back: http://blog.investraction.com/2006/10/mutual-funds-dividend-option-or-growth.html In short: Growth options of a mutual fund scheme don't pay out any money, they reinvest the dividend they receive. Dividend options pay out some money, at different intervals, based on the surplus they accumulate. In India, the options have very similar underlying portfolios, so HDFC Equity Fund (Growth) and HDFC Equity Fund (dividend) will have the same percentage allocation to each stock. Update: I also have a video you might want to see on the subject: http://www.youtube.com/watch?v=Bx8QtnccfZk",9,99
Is unrealized gain part of asset?,"Stocks, as an asset, represent the sum of the current market value of all of your holdings. If your portfolio is showing unrealized gains and losses, then that net amount is inherently reflected in the current market value of your holdings.  That's not to say cost basis is not important. Any closed trades, realized gains or losses, will of course have an impact on your taxable income. So, it couldn't hurt to keep track of your cost basis from a tax standpoint, but understand that the term ""asset"" refers to the current market values and does not consider base amounts. Taxes do. Perhaps consider making separate cells for cost basis, but also bear in mind that most if not all of the major online discount brokers will provide transferring of cost basis information electronically to the major online tax service providers.",9,147
What prevents investors from buying high yield stocks and selling them as soon as their dividend is paid out?,"Although the market  discussion by other answers is correct, the  tax structure of many developed nations (I am familiar with Canada in particular) offers a preferred tax rate for dividend income compared to taxable gains. Consequently, if your portfolio is large enough to make transaction fees a very small percentage rate, this is a viable investment strategy.  However, as the preferred tax rate for dividends typically will catch up to that for capital gains at some cut-off point, there is a natural limit on how much income can be favourably obtained in this way.  If you believe your portfolio might be large enough to benefit from this investment strategy, talk to a qualified investment advisor, broker, or tax consultant for the specifics for your tax jurisdiction.",9,145
How to rescue my money from negative interest?,"In Switzerland you should have access to many brokers with fair rates, e.g. Interactive Brokers. Going through them you then put the money in various Swiss stocks like Roche, Novartis, Swisscom, Credit Suisse, Logitech, etc. No stock should be more than 10% of the total. Since you pay 0% taxes on investment profits, you really should invest.  By going through a broker instead of your bank, you can cash out at any time without losing outrageous fees for the stock commissions (often 2% for banks, around 0% for brokers).  If you're employed you can also ask your employer to increase the amount of your salary that goes to the pension (2. Säule), which is not limited like the 7000 you mentioned (3.Säule).",9,130
Why does short selling require borrowing?,"You can't make money on the way down if it was your money that bought the shares when the market was up.  When you sell short, borrowing lets you tap into the value without paying for it. That way, when the price (hopefully) drops you profit from the difference. In your example, if you hadn't paid the £20 in the first place, then you would actually be up £5. But since you started with £20, you still show loss. As others said, borrowing is the definition of selling short. It is also simply the only way the math works. Of course, there is a large risk you must assume to enjoy benefiting from something you do not own!",9,124
"Pensions, annuities, and “retirement”","With an annuity, you invest directly into an annuity with money you have earned as wages/salary/etc. You pay for it, and trade your payments into the annuity for guaranteed payments from the annuity issuer in the future. The more you pay in before the annuity payments begin, the more you will receive for your annuity payment. With a pension, most often you invest implicitly, rather than directly, into the pension. Rather than making a cash contribution on a regular basis, it is likely that your employer has periodically invested into the pension fund for you, using monies that would otherwise have been paid to you if there were no pension system. This is why your pension benefits are often determined based on years of service, your rate of pay, and similar factors.",9,136
"What ways are there to invest in stocks, options, indexes, etc, and where should one start (what funds)?","I take the route of the tortoise.  I subscribe to the adage that you invest in an excellent index fund like VFINX and forget about day trading and trying to make short term gains. Just like I would do at a casino I do gamble a bit for fun.  Using etrade you can purchase some Vanguard or a billion of other things.  I purchased some Apple, Google, Verizon, and Ford (when it was at 1.3) and all of those have been good investments.  However, I don't invest the majority of my money in to individual stocks.  I just do this with some 'play' money. After maxing out 401k, etc. I put away my 6 months of safety net in a money mark and put the rest in Vanguard.",9,146
What should I consider when factoring fluctuating exchange rates into risk/return of overseas stock trading?,"Which of these two factors is likely to be more significant?  There is long term trend that puts one favourable with other. .... I realise that I could just as easily have lost 5% on the LSE and made 5% back on the currency, leaving me with my original investment minus various fees; or to have lost 5% on both. Yes that is true. Either of the 3 scenarios are possible. Those issues aside, am I looking at this in remotely the right way?  Yes. You are looking at it the right way. Generally one invests in Foreign markets for;",9,115
Why invest in IRA while a low-cost index fund is much simpler?,"Is that basically it? Trading off between withdrawing-anytime vs paying-capital-gain-tax? No. Another significant factor is dividends. In an IRA they incur no immediate tax and can be reinvested. This causes the account value to compound over the years. Historically, this compounding of dividends provides about half of the total return on investments. In a non-IRA account you have to pay taxes each year on all dividends received, whether you reinvest them or not. So outside of an IRA you have a tax drag on both capital gains and dividends.",9,101
Does financing a portfolio on margin affect the variance of a portfolio?,"Variance of a single asset is defined as follows: σ2 = Σi(Xi - μ)2 where Xi's represent all the possible final market values of your asset and μ represents the mean of all such market values.  The portfolio's variance is defined as σp2 = Σiwi2σi2 where, σp is the portfolio's variance, and wi stands for the weight of the ith asset.  Now, if you include the borrowing in your portfolio, that would classify as technically shorting at the borrowing rate. Thus, this weight would (by the virtue of being negative) increase all other weights. Moreover, the variance of this is likely to be zero (assuming fixed borrowing rates). Thus, weights of risky assets rise and the investor's portfolio's variance will go up. Also see, CML at wikipedia.",9,139
Where to categorize crypto-currencies,"Forex. I will employ my skill for ""suspension of disbelief"" and answer with no visceral reaction to Bitcoin itself. The Euro is not an 'investment.' It's a currency. People trade currencies in order to capture relative movements between pairs of currencies. Unlike stocks, that have an underlying business and potential for growth (or failure, of course) a currency trade is a zero sum game, two people on opposite sides of a bet.  Bitcoin has no underlying asset either, no stock, no commodity. It trades, de facto, like a currency, and for purposes of objective classification, it would be considered a currency, and held similar to any Forex position.",9,112
Why does quantitative easing negatively affect stocks?,"The stock market in general likes monetary easing. With lower interest rates and easy cheap money freely available, companies can borrow at reduced cost thus improving profits. As profits increase share prices generally follow. So as John Benson said Quantitative Easing usually has a positive effect on stocks. The recent negativity in the stock markets was partly due to the possibility of QE ending and interest rates being raised in the future.",9,79
Problems with Enterprise Value and better valuation techniques,"How you use the metric is super important.   Because it subtracts cash, it does not represent 'value'.  It represents the ongoing financing that will be necessary if both the equity plus debt is bought by one person, who then pays himself a dividend with that free cash.   So if you are Private Equity, this measures your net investment at t=0.5, not the price you pay at t=0.  If you are a retail investor, who a) won't be buying the debt, b) won't have any control over things like tax jurisdictions, c) won't be receiving any cash dividend, etc etc .... the metric is pointless.",9,112
What is the difference between “good debt” vs. “bad debt”?,"Here's what Suze Orman has to say about it: Good debt is money you borrow to purchase an asset, such as a home you can afford. History shows that home values generally rise in step with the inflation rate, so a mortgage is good debt. Student loans are, too, because they're an investment in the future. Census data pegs the average lifetime earnings of a high school graduate at a million dollars below that of someone with a bachelor's degree. Bad debt is money you borrow to buy a depreciating asset or to finance a ""want"" rather than a ""need."" A car is a depreciating asset; from the day you drive it off the lot, it starts losing value. Credit card balances or a home equity line of credit that's used to pay for indulgences—vacations, shopping, spa days—is bad debt.",9,150
Putting borrowed money into an SIPP,"If it were possible to take a loan out for a SIPP investment in the future .. I would suggest having an equivalent invested amount already in an ISA .. simply to cover you in the event of a job loss including additional cash in a deposit account. Secondly .. to increase your chances of success with this strategy I would also suggest doing this when the odds are more in your favour during the bottoming out cycle of a market crash. Thirdly .. it depends on how knowledgeable you are about investment , I would suggest being invested globally & in many different sectors to take advantage of various price movements.",9,118
"How do rich people guarantee the safety of their money, when savings exceed the FDIC limit?","They might not have to open accounts at 12 bank because the coverage does allow multiple accounts at one institution if the accounts are joint accounts. It also treats retirement accounts a separate account. The bigger issue is that most millionaires don't have all their money siting in the bank. They invest in stocks, bonds, government bonds, international funds, and their own companies. Most of these carry risk, but they are diversified. They also can afford advisers to help them manage and protect their assets.",9,101
Are there any consequences for investing in Vanguard's Admiral Shares funds instead of ETF's in a Roth IRA?,"The mutual fund will price at day's end, while the ETF trades during the day, like a stock. If you decide at 10am, that some event will occur during the day that will send the market up, the ETF is preferable. Aside from that, the expenses are identical, a low .14%. No real difference especially in a Roth.",9,76
How to reconcile performance with dividends?,"You didn't identify the fund but here is the most obvious way: Some of the stocks they owned could had dividends. Therefore they would have had to pass them on to the investors. If the fund sold shares of stocks, they could have capital gains. They would have sold stocks to pay investors who sold shares. They also could have sold shares of stock to lock in gains, or to get out of positions they no longer wanted.  Therefore a fund could have dividends, and capital gains, but not have an increase in value for the year. Some investors look at how tax efficient a fund is, before investing.",9,115
Does the stock market create any sort of value?,"The stock market exists for two reasons. It lets companies raise money to invest, and it lets company owners cash out and get money instead of part-ownership of a company when they are ready to do so. But to accomplish these goals effectively, it needs many more transactions than just those kinds of transaction, because you have to be able to find a buyer when you need one and to have a market price. So there are also a lot of transactions that are just to try to make short-term profit. But we need those transactions to provide the market liquidity to let the stock market work properly for its actual purposes.",9,121
Is losing money in my 401K normal?,"While historical performance is not necessarily indicative of future performance, I like to look at the historical performance of the markets for context. Vanguard's portfolio allocation models is one source for this data. Twenty years is a long term timeline. If you're well diversified in passively managed index funds, you should be positioned well for the future.  You've lost nothing until it's realized or you sell. Meanwhile, you still own an asset that has value. As Warren Buffet says, buy low and sell high.",9,91
Is it true that 90% of investors lose their money?,"The article ""Best Stock Fund of the Decade: CGM Focus"" from the Wall Street Journal in 2009 describe the highest performing mutual fund in the USA between 2000 and 2009. The investor return in the fund (what the shareholders actually earned) was abysmal. Why? Because the fund was so volatile that investors panicked and bailed out, locking in losses instead of waiting them out. The reality is that almost any strategy will lead to success in investing, so long as it is actually followed. A strategy keeps you from making emotional or knee-jerk decisions. (BTW, beware of anyone selling you a strategy by telling you that everyone in the world is a failure except for the few special people who have the privilege of knowing their ""secrets."") (Link removed, as it's gone dead)",9,143
Source of income: from dividends vs sale of principal or security,"The trend in ETFs is total return: where the ETF automatically reinvests dividends.  This philosophy is undoubtedly influenced by that trend. The rich and retired receive nearly all income from interest, dividends, and capital gains; therefore, one who receives income exclusively from dividends and capital gains must fund by withdrawing dividends and/or liquidating holdings. For a total return ETF, the situation is even more limiting: income can only be funded by liquidation. The expected profit is lost for the dividend as well as liquidating since the dividend can merely be converted back into securities new or pre-existing.  In this regard, dividends and investments are equal. One who withdraws dividends and liquidates holdings should be careful not to liquidate faster than the rate of growth.",9,135
For young (lower-mid class) investors what percentage should be in individual stocks?,"I would not advise any stock-picking or other active management (even using mutual funds that are actively managed).  There is a large body of knowledge that needs learning before you even attempt that. Stay passive with index funds (either ETFs or (even better) low-cost passive mutual funds (because these prevent you from buying/selling). But I have not problem saying you can invest 100% in equity as long as your stomach can handle the price swings.  If you freek out after a 25% drop that does not recover within a year, so you sell at the market bottom, then you are better off staying with a lot less risk.  It is personal. There are a lot of valid reasons for young people to accept more risk - and equally valid reason why not.  See list at http://www.retailinvestor.org/saving.html#norisk",9,148
Should I consider my investment in a total stock market fund “diverse”?,"You are diversified within a particular type of security. Notably the stock market. A truly diversified portfolio not only has multiple types of holdings within a single type of security (what your broad market fund does) but between different types. You have partially succeeded in doing this with the international fund - that way your risk is spread between domestic and international stocks. But there are other holdings. Cash, bonds, commodities, real estate, etc. There are broad index funds/ETFs for those as well, which may reduce your risk when the stock market as a whole tanks - which it does on occasion.",9,114
"Does it make any sense to have individual stocks, bonds, preferred shares","Sure, with some general rules of thumb: what is the minimum portfolio balance to avoid paying too much for transaction fees? Well, the fee doesn't change with portfolio balance or order size, so I don't know what you're trying to do here.  The way to have less transaction fees is to have less transactions.  That means no day-trading, no option rolling, etc.  A Buy-and-hold strategy (with free dividend reinvestment if available) will minimize transaction fees.",9,87
How many warrants do I need to exercise to get a stock?,"No, you trade the warrant and the warrant price of $11.50 for one stock. The warrant is a little like an option, but with a longer term. If you buy a IPOA.WS warrant then that warrant gives you the option to buy one share of class A stock at $11.50 at a future date.  If in the future, the stock is worth $20, then you make $20 - $11.50 -  per share.  If you buy one IPOA.U, then you get 1/3 of a warrant and 1 share of stock, the warrants will be useless unless you buy in groups of 3 for the IPOA.U.  I didn't see the timeframe of the warrant, they're usually good for 10+ years, and they're currently trading in the $1.5-1.8 range. To confirm, here's a decent article about how warrants work: http://www.investopedia.com/articles/04/021704.asp",9,149
What is the risk associated with day trading?,"Day trading carries a high risk due to its nature of making quick decisions and leveraging large amounts of capital. As with any investment, there is the potential for large profits, but day trading also carries the potential for large losses. The high leverage also amplifies these losses and can lead to losses that exceed previously invested capital. Furthermore, day traders must be able to accurately and quickly identify market trends and respond appropriately to sudden market shifts. As a result, the success of day trading may depend more on skill and strategy than luck.",9,103
Understanding the synthetic long put option,"A long put - you have a small initial cost (the option premium) but profit as the stock goes down. You have no additional risk if the shock rises, even a lot. Short a stock - you gain if the stock drops, but have unlimited risk if it rises, the call mitigates this, by capping that rising stock risk. The profit/loss graph looks similar to the long put when you hold both the short position and the long call.  You might consider producing a graph or spreadsheet to compare positions. You can easily sketch put, call, long stock, short stock, and study how combinations of positions can synthetically look like other positions. Often, when a stock has no shares to short, the synthetic short can help you put your stock position in place.",9,139
"taxes, ordinary income, and adjusted cost basis for RSUs","The sale of shares on vesting convolutes matters. In a way similar to how reinvested dividends are taxed but the newly purchased fund shares' basis has to be increased, you need to be sure to have the correct per share cost basis. It's easy to confuse the total RSU purchase with the correct numbers, only what remained.  The vesting stock is a taxable event, ordinary income.  You then own the stock at that cost basis. A sale after that is long or short term and the profit is the to extent it exceeds that basis.  The fact that you got these shares in 2013 means you should have paid the tax then. And this is part two of the process. Of course the partial sale means a bit of math to calculate the basis of what remained.",9,146
What are “equity assets”?,"If I hold a bond then I have a debt asset. If I hold physical silver then I have a commodity asset. If I hold the stock of an individual company then I have an equity asset. Equities, commodities and debts are the three kinds of assets that a person can hold.  Edit: I forgot one other kind of asset; monetary asset. If I stuff my mattress with cash (USD) I am holding a monetary asset.  Short-term Treasury Bills really behave more like a monetary asset than a bond. So besides actual, physical, currency I would categorize T-bill as a monetary asset.  https://www.treasurydirect.gov/indiv/products/prod_tbills_glance.htm",9,107
Should I move my money market funds into bonds?,"It depends how much risk you're prepared to accept. The short-term risk-free rate of return at present is something in the vicinity of 0.1% (three month US treasuries are currently yielding 0.08%), so anything paying a higher rate on money that's accessible quickly will involve some degree of risk -- the higher the rate then the higher the risk.",9,68
Value investing,"One aspect of this - no matter which valuation method you choose - is that there are limited shares available to buy. Other people already know those valuation methods and have decided to buy those shares, paying higher than the previous person to notice this and take a risk. So this means that even after you have calculated the company's assets and future growth, you will be possibly buying shares that are way more expensive and overvalued than they will be in the future. You have to consider that, or you may be stuck with a loss for decades. And during that time, the company will get new management or their industry will change, completely undermining whatever fundamentals you originally considered.",9,123
What does it mean that stocks are “memoryless”?,"It reminds me of the Efficient Market Hypothesis, except that just states in its weakest form that the current market price accounts for all information embedded in previous market prices. In other words, people buying today at 42 know it was selling for 40 yesterday, and the patterns and such. To say that stock is memoryless strikes me as not quite right -- to the extent that stocks are valued based on earnings, much of what we infer about future earnings relies on past and present earnings. One obvious counterexample to this ""memoryless"" claim is bankruptcy. If a stock files bankruptcy, and there isn't enough money to pay senior debt, your shares are worth 0 in perpetuity.",9,125
Consequences of not closing an open short sell position?,"You would generally have to pay interest for everyday you hold the position overnight.  If you never close the position and the stock price goes to zero, you will be closed out and credited with your profit. If you never close the position and the stock price keeps going up and up, your potential loss is an unlimited amount of money.  Of course your broker may close you out early for a number of reasons, particularly if your loss goes above the amount of capital you have in your trading account.",9,100
Provide a convincing argument for investing in stocks.,"Investing in stocks provides an opportunity to build wealth over time and diversify your overall portfolio. Stocks offer higher returns than other investments such as bonds, saving accounts, and CDs. Stocks also offer great liquidity, meaning that you can easily access your funds when needed. Investing in stocks also gives you access to the unique features of individual companies, such as dividends and potential appreciation of the stock price. There are risks associated with investing in stocks, but the rewards can be significant.",9,91
Why do people buy stocks that pay no dividend?,"Instead of giving part of their profits back as dividends, management puts it back into the company so the company can grow and produce higher profits. When these companies do well, there is high demand for them as in the long term higher profits equates to a higher share price. So if a company invests in itself to grow its profits higher and higher, one of the main reasons investors will buy the shares, is in the expectation of future capital gains.",9,91
Suitable Vanguard funds for a short-term goal (1-2 years),"1-2 years is very short-term. If you know you will need the money in that timeframe and cannot risk losing money because of a stock market correction, you should stay away from equities (stocks). A short-term bond fund (like VBISX) will pay around 1%, maybe a bit more, and only has a small amount of risk. Money Market funds are practically risk-free (technically speaking they can lose money, but it's extremely rare) but rates of return are dismal. It's hard to get bigger returns without taking on more risk.",9,98
Does a stock holder profit from a reverse-stock split?,"If I held stock in these companies yesterday, would I have profited by these gains? No.  For DZSI, your 5 shares at $1.10 would now be 1 share at $5.50, so you would have the same total amount.  For SGY, they closed at $6.95, and opened at $32.80, so your five shares at $6.95 would now be one share at $32.80, so you would have actually lost money (not purely because of the split, but because the ""new"" shares are trading lower then the expected 1:5 split price).  A split in general does not affect market cap (how much your total shares are worth) but there may be residual effects that cause the market value to fluctuate after a split that affect the price.",9,133
Whether to prepay mortgage or invest in stocks,"In all likelihood, the best thing you can do, if these really are your only two options (ie no other debt at all), paying-down your mortgage will shorten the term of the mortgage, and mean you spend less on your house in the long run. Investing is should be a long-term activity - so yes, the likelihood is that, given a modest investment, it will gain at historical averages over the life of the investment vehicle. However, that is not a guarantee, and is an inherent risk. Whereas paying-down a mortgage lowers your financial obligations and risk, investing increases your risk. I want to know how you got a 2.1% interest rate on a mortgage, though - the lowest I've seen anywhere is 3.25%.",9,132
What is a “Junk Bond”?,"A ""junk bond"" is one that pays a high yield UP FRONT because there is a good chance that it could default. So the higher interest rate is necessary to try to compensate for the default Junk bonds are used in leveraged buyouts (LBOs) because such deals are INHERENTLY risky. ""Normal"" companies may have 20%-30% debt and the rest equity, so that the company will have to lose 70%-80% of its value before the debtholders start losing money on ""normal"" bonds. But in an LBO, the company may have only 10%-20% equity and the rest debt. Meaning that if it loses that small equity cushion, the value of the ""junk"" bonds will be impaired.",9,119
